shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
20175,39.818340,-86.086370,570003
20175,39.818352,-86.085135,570004
20175,39.818352,-86.085135,580001
20175,39.818354,-86.085007,580002
20175,39.818368,-86.083630,580003
20175,39.818367,-86.083191,580004
20175,39.818367,-86.083191,590001
20175,39.818365,-86.081908,590002
20175,39.818363,-86.080354,590003
20175,39.818363,-86.080354,600001
20175,39.818362,-86.080184,600002
20175,39.818360,-86.078900,600003
20175,39.818360,-86.078457,600004
20175,39.818359,-86.077872,600005
20175,39.818359,-86.077872,610001
20175,39.818359,-86.077718,610002
20175,39.818357,-86.076534,610003
20175,39.818351,-86.073316,610004
20175,39.818351,-86.073316,620001
20175,39.818351,-86.072994,620002
20175,39.818347,-86.071818,620003
20175,39.818341,-86.069485,620004
20175,39.818338,-86.067986,620005
20175,39.818338,-86.067986,630001
20175,39.818330,-86.064707,630002
20175,39.818332,-86.064220,630003
20175,39.818332,-86.064220,640001
20175,39.818357,-86.058631,640002
20175,39.818357,-86.058631,650001
20175,39.818373,-86.054950,650002
20175,39.818373,-86.054950,660001
20175,39.818382,-86.052789,660002
20175,39.818382,-86.052789,670001
20175,39.818383,-86.052611,670002
20175,39.818385,-86.052317,670003
20175,39.818389,-86.051200,670004
20175,39.818390,-86.051034,670005
20175,39.818390,-86.051034,680001
20175,39.818410,-86.046427,680002
20175,39.818410,-86.046427,690001
20175,39.818413,-86.045741,690002
20175,39.816683,-86.045721,690003
20175,39.816053,-86.045713,690004
20175,39.816053,-86.045713,700001
20175,39.815858,-86.045711,700002
20175,39.813745,-86.045685,700003
20175,39.813745,-86.045685,710001
20175,39.811675,-86.045660,710002
20175,39.811073,-86.045653,710003
20175,39.810547,-86.045647,710004
20175,39.810547,-86.045647,720001
20175,39.806676,-86.045602,720002
20175,39.805865,-86.045664,720003
20175,39.804765,-86.045648,720004
20175,39.804765,-86.045648,730001
20175,39.803894,-86.045635,730002
20175,39.803732,-86.045567,730003
20175,39.803059,-86.045624,730004
20175,39.803062,-86.044887,730005
20175,39.803807,-86.044875,730006
